Sentence,Party,Sentiment,Overall Sentiment
Petitioner moved to dismiss all counts in the new indictment on the ground,"[[petitioner],[]]","[[1],[]]",1
the acquittals on the fraud counts precluded the Government from retrying him on the insider trading counts,"[[him],[Government]]","[[1],[-1]]",1
"He argued that the jury acquittals had necessarily decided that he did not possess material, nonpublic information about the performance of the EIN project and its value to Enron.","[[he_1,he_2],[]]","[[1,1],[]]",1
"he did not possess material, nonpublic information about the performance of the EIN project and its value to Enron.","[[he],[]]","[[1],[]]",1
"In petitioner view, because reprosecution for insider trading would require the Government to prove that critical fact, the issue-preclusion component of the Double Jeopardy Clause barred a second trial of that issue and mandated dismissal of all of the insider trading counts.","[[petitioner],[Government]]","[[1],[-1]]",1
reprosecution for insider trading would require the Government to prove that critical fact,"[[],[Government]]","[[],[-1]]",-1
"After reviewing the trial record, the court disagreed with petitioner reading of what the jury necessarily decided.","[[petitioner],[]]","[[-1],[]]",-1
"After reviewing the trial record, the court disagreed with petitioner reading of","[[petitioner],[]]","[[-1],[]]",-1
"In the court telling, the jury likely concluded that petitioner ""did not knowingly and willfully participate in the scheme to defraud described in the conspiracy, securities fraud, and wire fraud counts.""","[[petitioner],[]]","[[1],[]]",1
"petitioner ""did not knowingly and willfully participate in the scheme to defraud described in the conspiracy, securities fraud, and wire fraud counts.""","[[petitioner],[]]","[[1],[]]",1
"It reasoned that petitioner ""did not dispute"" the Government theory that he ""helped shape the message"" of the allegedly fraudulent presentations made at the analyst conference, and therefore rejected the District Court conclusion that the jury had ""acquitted [petitioner] on the groun[d] that he did not participate in the fraud.""","[[petitioner,he_1,he_2],[Government]]","[[-1, -1,-1],[1]]",-1
"petitioner ""did not dispute"" the Government theory","[[petitioner],[Government]]","[[-1],[1]]",-1
"the jury had ""acquitted [petitioner] on the groun[d] that he did not participate in the fraud.""","[[petitioner,he],[]]","[[1,1],[]]",1
"Based on its independent review of the record, the Court of Appeals instead concluded that ""the jury must have found when it acquitted [petitioner] that [he] did not have any insider information that contradicted what was presented to the public.""","[[petitioner,he],[]]","[[1,1],[]]",1
the jury must have found when it acquitted [petitioner],"[[petitioner],[]]","[[1],[]]",1
[he] did not have any insider information,"[[he],[]]","[[0],[]]",0
The court acknowledged that this factual determination would normally preclude the Government from retrying petitioner for insider trading or money laundering.,"[[petitioner],[Government]]","[[1],[-1]]",1
this factual determination would normally preclude the Government from retrying petitioner for insider trading or money laundering.,"[[petitioner],[Government]]","[[1],[-1]]",1
"The court was nevertheless persuaded that a truly rational jury, having concluded that petitioner did not have any insider information, would have acquitted him on the insider trading counts.","[[petitioner],[]]","[[1],[]]",1
petitioner did not have any insider information,"[[petitioner],[]]","[[0],[]]",0
Petitioner had also moved to dismiss the relevant counts in the earlier indictment in response to the Government assertion that it could reprosecute petitioner for the previously hung counts under that indictment as well.,"[[petitioner],[Government]]","[[1],[-1]]",1
Petitioner had also moved to dismiss the relevant counts in the earlier indictment in response to the Government assertion,"[[petitioner],[Government]]","[[1],[-1]]",1
it could reprosecute petitioner for the previously hung counts under that indictment as well.,"[[petitioner],[]]","[[-1],[]]",-1
Respondent Reilly filed for Chapter 7 bankruptcy when her catering business failed.,"[[],[respondent reilly,her]","[[],[1,1]]",-1
Respondent Reilly filed for Chapter 7 bankruptcy,"[[],[respondent reilly]","[[],[1]]",-1
her catering business failed.,"[[],[her]]","[[],[0]]",0
"She supported her petition with, inter alia, Schedule B, on which debtors must list their assets, and Schedule C, on which they must list the property they wish to reclaim as exempt.","[[],[she,her]]","[[],[1,1]]",-1
"She supported her petition with, inter alia, Schedule B","[[],[she,her]]","[[],[1,1]]",1
"Although an appraisal revealed that the equipment total market value could be as much as $17,200, petitioner Schwab, the bankruptcy estate trustee, did not object to the claimed exemptions because the dollar value Reilly assigned to each fell within the limits of §§522(d)(5) and (6).","[[petitioner schwab],[reilly]]","[[-1],[1]]",-1
the dollar value Reilly assigned to each fell within the limits of §§522(d)(5) and (6).,"[[],[reilly]]","[[],[0]]",0
"the equipment total market value could be as much as $17,200, petitioner Schwab","[[petitioner schwab],[]]","[[0],[]]",0
"Schwab moved the Bankruptcy Court for permission to auction the equipment so Reilly could receive the $10,718 she claimed exempt and the estate could distribute the remaining value to her creditors.","[[schwab],[reilly,she,her]]","[[1],[1,1,1]]",1
Schwab moved the Bankruptcy Court for permission to auction the equipment,"[[schwab],[]]","[[0],[]]",0
"Reilly could receive the $10,718 ","[[],[reilly]]","[[],[0]]",0
she claimed exempt and the estate could distribute the remaining value to her creditors.,"[[],[she,her]]","[[],[1,1]]",-1
"Reilly countered that by equating on Schedule C the total value of her claimed exemptions in the equipment with the equipment estimated market value, she had put Schwab and her creditors on notice that she intended to exempt the equipment full value, even if it turned out to be more than the amounts she declared and that the Code allowed.","[[schwab],[reilly,her_1,she_1,her_2,she_2]]","[[1],[1,1,1,1,1]]",1
by equating on Schedule C the total value of her claimed exemptions in the equipment with the equipment estimated market value,"[[],[her]]","[[],[0]]",0
she had put Schwab and her creditors on notice,"[[schwab],[she,her]]","[[0],[0,0]]",0
she intended to exempt the equipment full value,"[[],[she]]","[[],[0]]",0
it turned out to be more than the amounts she declared and that the Code allowed.,"[[],[she]]","[[],[-1]]",1
"She asserted that the estate had forfeited its claim to any portion of that value because Schwab had not objected within the Rule 4003(b) period, and that she would dismiss her petition rather than sell her equipment.","[[schwab],[she_1,she_2,her_1,her_2]]","[[-1],[1,1,1,1]]",-1
she would dismiss her petition rather than sell her equipment.,"[[],[she,her_1,her_2]]","[[],[1,1,1]]",1
Schwab had not objected within the Rule 4003(b) period,"[[schwab],[]]","[[-1],[]]",-1
The Bankruptcy Court denied Schwab motion and Reilly conditional motion to dismiss.,"[[schwab],[reilly]]","[[-1],[-1]]",0
"The District Court denied Schwab relief, rejecting his argument that neither the Code nor Rule 4003(b) requires a trustee to object to a claimed exemption where the amount the debtor declares as the exemption value is within the limits the Code prescribes.","[[schwab,his],[]]","[[-1,-1],[]]",-1
"The District Court denied Schwab relief, rejecting his argument","[[schwab,his],[]]","[[-1,-1],[]]",-1
"Affirming, the Third Circuit agreed that Reilly Schedule C entries indicated her intent to exempt the equipment full value.","[[],[reilly,her]]","[[],[-1,-1]]",1
Reilly Schedule C entries indicated her intent to exempt the equipment full value.,"[[],[reilly,her]]","[[],[-1,-1]]",1
"Relying on Taylor, it held that Schwab failure to object entitled Reilly to exempt the full value of her equipment, even though that value exceeded the amounts that Reilly declared and the Code permitted.","[[schwab],[reilly,her]]","[[-1],[1,1]]",-1
that value exceeded the amounts that Reilly declared and the Code permitted.,"[[],[reilly]]","[[],[1]]",1
Schwab failure to object entitled Reilly to exempt the full value of her equipment,"[[schwab],[reilly,her]]","[[-1],[1,1]]",-1
"Because Reilly gave ""the value of [her] claimed exemption[s]"" on Schedule C dollar amounts within the range the Code allows for what it defines as the ""property claimed as exempt,"" Schwab was not required to object to the exemptions in order to preserve the estate right to retain any value in the equipment beyond the value of the exempt interest.","[[schwab],[reilly,her]]","[[-1],[1,1]]",0
"Reilly gave ""the value of [her] claimed exemption[s]"" on Schedule C dollar amounts within the range the Code allows for what it defines as the ""property claimed as exempt,""","[[],[reilly,her]]","[[],[1,1]]",-1
"Reilly complicated view of the trustee statutory obligation, and her reading of Schedule C, does not accord with the Code.","[[],[reilly,her]]","[[],[1,1]]",-1
"Schwab and amicus United States counter that because the Code defines such property as an interest, not to exceed a certain dollar amount, in a particular asset, not as the asset itself, the value of the property claimed exempt should be judged on the dollar value the debtor assigns the interest, not on the value the debtor assigns the asset.","[[schwab],[]]","[[1],[]]",1
Schwab had no duty to object to the property Reilly claimed as exempt because its stated value was within the limits the Code allows.,"[[schwab],[reilly]]","[[-1],[1]]",-1
the property Reilly claimed as exempt because its stated value was within the limits the Code allows.,"[[],[reilly]]","[[],[1]]",-1
"Reilly contrary view does not withstand scrutiny because it defines the target of a trustee objection based on Schedule C language and dictionary definitions of ""property"" at odds with the Code definition.","[[],[reilly]]","[[],[-1]]",1
"Schwab was entitled to evaluate the claimed exemptions propriety based on three Schedule C entries: the description of the business equipment in which Reilly claimed the exempt interests; the Code provisions governing the claimed exemptions; and the amounts Reilly listed in the column titled ""value of claimed exemption.""","[[schwab],[reilly]]","[[1],[1]]",1
Schwab was entitled to evaluate the claimed exemptions propriety based on three Schedule C entries: the description of the business equipment,"[[schwab],[]]","[[1],[]]",1
Reilly claimed the exempt interests,"[[],[reilly]]","[[],[1]]",-1
"Reilly listed in the column titled ""value of claimed exemption","[[],[reilly]]","[[],[1]]",-1
This conclusion does not render Reilly market value estimate superfluous.,"[[],[reilly]]","[[],[1]]",-1
Reilly market value estimate superfluous.,"[[],[reilly]]","[[],[-1]]",1
Reilly argument threatens to convert the Code goal of giving debtors a fresh start into a free pass.,"[[],[reilly]]","[[],[-1]]",1
"Petitioner William G. Schwab, the trustee of Reilly bankruptcy estate, did not object to Reilly claimed exemptions in her business equipment because the dollar value Reilly assigned each exemption fell within the limits that §§522(d)(5) and (6) prescribe.","[[Petitioner William G. Schwab],[reilly,her]]","[[0],[1,1]]",-1
"Petitioner William G. Schwab, the trustee of Reilly bankruptcy estate, did not object to Reilly claimed exemptions in her business equipment","[[Petitioner William G. Schwab],[reilly,her]]","[[0],[1,1]]",-1
Reilly assigned each exemption fell within the limits,"[[],[reilly]]","[[],[1]]",0
Reilly opposed Schwab motion.,"[[schwab],[reilly]]","[[-1],[1]]",-1
"She argued that by equating on Schedule C the total value of the exemptions she claimed in the equipment with the equipment estimated market value, she had put Schwab and her creditors on notice that she intended to exempt the equipment full value, even if that amount turned out to be more than the dollar amount she declared, and more than the Code allowed.","[[schwab],[she_1,she_2,she_3,her,she_4,she_5]]","[[-1],[1,1,1,1,1,1]]",-1
she claimed in the equipment with the equipment estimated market value,"[[],[she]]","[[],[1]]",0
she had put Schwab and her creditors on notice that she intended to exempt the equipment full value,"[[schwab],[she_1,her,she_2]]","[[0],[1,1,1]]",0
she intended to exempt the equipment full value,"[[],[she]]","[[],[1]]",1
"that amount turned out to be more than the dollar amount she declared, and more than the Code allowed.","[[],[she]]","[[],[-1]]",0
"Reilly asserted that because her Schedule C notified Schwab of her intent to exempt the full value of her business equipment, he was obliged to object if he wished to preserve the estate right to retain any value in the equipment in excess of the $10,718 she estimated.","[[schwab,he_1,he_2],[reilly,her_1,her_2,her_3,she]]","[[-1,-1,-1],[1,1,1,1,1]]",1
her Schedule C notified Schwab of her intent to exempt the full value of her business equipment,"[[schwab],[her_1,her_2,her_3]]","[[-1],[1,1,1]]",-1
he was obliged to object,"[[he],[]]","[[0],[]]",0
"he wished to preserve the estate right to retain any value in the equipment in excess of the $10,718 she estimated.","[[he],[she]]","[[0],[0]]",0
"Because Schwab did not object within the time prescribed by Rule 4003(b), Reilly asserted that the estate forfeited its claim to such value.","[[schwab],[reilly]]","[[-1],[1]]",-1
Schwab did not object within the time prescribed by Rule 4003(b),"[[schwab],[]]","[[-1],[]]",-1
Reilly further informed the Bankruptcy Court that exempting her business equipment from the estate was so important to her that she would dismiss her bankruptcy case if doing so was the only way to avoid the equipment sale at auction.,"[[],[reilly,her_1,her_2,she]]","[[],[-1,-1,-1,-1]]",1
exempting her business equipment from the estate was so important to her,"[[],[she,her_1,her_2]]","[[],[-1,-1,-1]]",1
Reilly further informed the Bankruptcy Court,"[[],[reilly]]","[[0],[]]",0
she would dismiss her bankruptcy case,"[[],[she,her]]","[[],[-1,-1]]",1
The Bankruptcy Court denied both Schwab motion to auction the equipment and Reilly conditional motion to dismiss her case.,"[[schwab],[reilly,her]]","[[-1],[-1,-1]]",-1
The Bankruptcy Court denied both Schwab motion to auction the equipment and Reilly conditional motion,"[[schwab],[reilly]]","[[-1],[-1]]",-1
"Schwab sought relief from the District Court, arguing that neither the Code nor Rule 4003(b) requires a trustee to object to a claimed exemption where the amount the debtor declares as the ""value of [the debtor] claimed exemption"" in certain property is an amount within the limits the Code prescribes.","[[schwab],[]]","[[1],[]]",1
"Schwab sought relief from the District Court, arguing","[[schwab],[]]","[[1],[]]",1
"The District Court rejected Schwab argument, and the Court of Appeals affirmed.","[[schwab],[]]","[[-1],[]]",-1
"Relying on this ""unstated premise,"" the Court of Appeals held that Schwab failure to object to Reilly claimed exemptions entitled Reilly to the equivalent of an in-kind interest in her business equipment, even though the value of that exemption exceeded the amount that Reilly declared on Schedule C and the amount that the Code allowed her to withdraw from the bankruptcy estate.","[[schwab],[reilly,her]]","[[-1],[1,1]]",-1
Schwab failure to object,"[[schwab],[]]","[[-1],[]]",-1
Reilly claimed exemptions entitled Reilly to the equivalent of an in-kind interest in her business equipment,"[[],[reilly,her]]","[[],[1,1]]",1
the Code allowed her to withdraw from the bankruptcy estate.,"[[],[her]]","[[],[1]]",1
the value of that exemption exceeded the amount that Reilly declared on Schedule,"[[],[reilly]]","[[],[-1]]",-1
"According to Reilly, Schwab was required to treat the estimate of market value she entered in column four as part of her claimed exemption in identifying the ""property claimed as exempt"" under §522(l).","[[schwab],[reilly,she]]","[[-1],[1,1]]",-1
"According to Reilly, Schwab was required to treat the estimate of market value","[[schwab],[reilly]]","[[0],[0]]",0
"she entered in column four as part of her claimed exemption in identifying the ""property claimed as exempt"" under §522(l).","[[],[she,her]]","[[],[1,1]]",-1
"Relying on this premise, Reilly argues that where, as here, a debtor equates the total value of her claimed exemptions in a certain asset (column three) with her estimate of the asset market value (column four), she establishes the ""property claimed as exempt"" as the full value of the asset, whatever that turns out to be.","[[],[reilly,her_1,her_2,she]]","[[],[1,1,1,1]]",-1
"Relying on this premise, Reilly argues","[[],[reilly]]","[[],[0]]",0
" she establishes the ""property claimed as exempt"" as the full value of the asset, whatever that turns out to be.","[[],[she]]","[[],[1]]",0
"a debtor equates the total value of her claimed exemptions in a certain asset (column three) with her estimate of the asset market value (column four),","[[],[her_1,her_2]]","[[],[1,1]]",0
"Reilly argues that her Schedule C clearly put Schwab on notice that she ""intended"" to claim an exemption for the full value of her business equipment, and that Schwab failure to oppose the exemption in a timely manner placed the full value of the equipment outside the estate reach.","[[schwab],[reilly,her_1,her_2,she]]","[[-1],[1,1,1,1]]",-1
her Schedule C clearly put Schwab on notice,"[[schwab],[her]]","[[0],[0]]",0
"she ""intended"" to claim an exemption for the full value of her business equipment","[[],[she,her]]","[[],[1,1]]",-1
"she ""intended"" to claim an exemption for the full value of her business equipment Schwab failure to oppose the exemption in a timely manner placed the full value of the equipment outside the estate reach.","[[schwab],[she,her]]","[[-1],[1,1]]",-1
"Schwab does not dispute that columns three and four apprised him that Reilly equated the total value of her claimed exemptions in the equipment ($1,850 plus $8,868) with the equipment market value ($10,718).","[[schwab,him],[reilly,her]]","[[-1,-1],[1,1]]",-1
Schwab does not dispute,"[[schwab],[]]","[[0],[]]",0
columns three and four apprised him,"[[him],[]]","[[0],[]]",0
" Reilly equated the total value of her claimed exemptions in the equipment ($1,850 plus $8,868) with the equipment market value ($10,718).","[[],[reilly]]","[[],[1]]",-1
"He simply disagrees with Reilly that this ""identical listing put [him] on notice that Reilly intended to exempt the property fully,"" regardless whether its value exceeded the exemption limits the Code prescribes.","[[he,him],[reilly]]","[[1,1],[-1]]",1
He simply disagrees with Reilly,"[[he],[reilly]]","[[0],[0]]",0
"this ""identical listing put [him] on notice ","[[him],[]]","[[0],[]]",0
"Reilly intended to exempt the property fully,","[[],[reilly]]","[[],[-1]]",1
"Schwab and amicus United States instead contend that the Code defines the ""property"" Reilly claimed as exempt under §522(l) as an ""interest"" whose value cannot exceed a certain dollar amount.","[[schwab],[reilly]]","[[1],[-1]]",1
Schwab and amicus United States instead contend,"[[schwab],[]]","[[0],[]]",1
"the Code defines the ""property"" Reilly claimed as exempt under §522(l) as an ""interest"" whose value cannot exceed a certain dollar amount.","[[],[reilly]]","[[],[-1]]",1
"the ""property"" Reilly claimed as exempt under §522(l) as an ""interest"" whose value cannot exceed a certain dollar amount.","[[],[reilly]]","[[],[-1]]",1
"For all of these reasons, we conclude that Schwab was entitled to evaluate the propriety of the claimed exemptions based on three, and only three, entries on Reilly Schedule C: the description of the business equipment in which Reilly claimed the exempt interests; the Code provisions governing the claimed exemptions; and the amounts Reilly listed in the column titled ""value of claimed exemption.""","[[schwab],[reilly]]","[[1],[0]]",1
Schwab was entitled to evaluate the propriety of the claimed exemptions based on three,"[[schwab],[]]","[[1],[]]",1
Reilly claimed the exempt interests,"[[],[reilly]]","[[],[0]]",1
"Reilly listed in the column titled ""value of claimed exemption","[[],[reilly]]","[[],[0]]",1
Our interpretation of Schwab statutory obligations is not only consistent with the governing Code provisions; it is also consistent with the historical treatment of bankruptcy exemptions.,"[[schwab],[]]","[[1],[]]",1
"The trustee in this case, petitioner William G. Schwab, maintains that the obligation promptly to object to exemption claims extends only to the qualification of an asset as exemptible, not to the debtor valuation of the asset.","[[petitioner William G. Schwab],[]]","[[1],[]]",1
"The trustee in this case, petitioner William G. Schwab, maintains","[[trustee,petitioner William G. Schwab],[]]","[[0,0],[]]",0
"Respondent Nadejda Reilly, the debtor-in-bankruptcy, urges that the timely objection requirement applies not only to the debtor designation of an asset as exempt; the requirement applies as well, she asserts, to her estimate of the asset market value.","[[],[respondent nadejda reilly,she,her]]","[[],[1,1,1]]",-1
"Respondent Nadejda Reilly, the debtor-in-bankruptcy, urges","[[],[respondent nadejda reilly]]","[[],[0]]",1
"the timely objection requirement applies not only to the debtor designation of an asset as exempt; the requirement applies as well, she asserts, to her estimate of the asset market value.","[[],[she,her]]","[[],[1,1]]",-1
"That is so, she reasons, because the asset current dollar value is critical to the determination whether she may keep the property intact and outside bankruptcy, or whether the trustee, at any time during the course of the proceedings, may sell it.","[[trustee],[she]]","[[1],[1]]",0
"That is so, she reasons","[[],[she]]","[[],[0]]",0
"she may keep the property intact and outside bankruptcy, or whether the trustee, at any time during the course of the proceedings, may sell it.","[[trustee],[she]]","[[1],[1]]",0
"At the meeting of creditors, Reilly reiterated that she sought to keep the equipment in her possession; she would rather discontinue the bankruptcy proceeding, she made plain, than lose her equipment.","[[],[reilly,her_1,she_1,her_2,she_2,she_3]]","[[],[-1,-1,-1,-1,-1,-1]]",1
"At the meeting of creditors, Reilly reiterated ","[[],[reilly,she]]","[[],[0,0]]",0
she sought to keep the equipment in her possession;,"[[],[she,her]]","[[],[1,1]]",1
"she made plain, than lose her equipment.","[[],[she,her]]","[[],[-1,-1]]",-1
"she would rather discontinue the bankruptcy proceeding,","[[],[she]]","[[],[-1]]",1
"The Court holds, however, that Schwab was not obliged to file a timely objection to the exemption Reilly claimed, and indeed could auction off her cooking equipment anytime prior to her discharge.","[[schwab],[reilly,her_1,her_2]]","[[-1],[1,1,1]]",-1
Schwab was not obliged to file a timely objection to the exemption,"[[schwab],[]]","[[-1],[]]",-1
Reilly claimed,"[[],[reilly]]","[[],[0]]",1
"Petitioner is a white school teacher who was refused service in respondent lunchroom when she was accompanied by six Negro students, and who was arrested for vagrancy by the Hattiesburg, Mississippi, police when she left respondent premises.","[[petitioner,she],[respondent]]","[[1,1],[-1]]",1
Petitioner is a white school teacher,"[[petitioner],[]]","[[0],[]]",0
she was accompanied by six Negro students,"[[she],[]]","[[0],[]]",0
she left respondent premises.,"[[she],[respondent]]","[[0],[0]]",0
She filed a complaint in the Federal District Court to recover damages alleging deprivation of her right under the Equal Protection Clause not to be discriminated against on the basis of race.,"[[she],[]]","[[1],[]]",1
"The District Court ruled that to recover under the first count petitioner would have to prove a specific ""custom of refusing service to whites who were in the company of Negroes"" that was ""enforced by the State"" under its criminal trespass statute.","[[petitioner],[]]","[[-1],[]]",-1
The court directed a verdict for respondent on this count because petitioner failed to prove other instances of whites having been refused service while in company of Negroes in Hattiesburg.,"[[petitioner],[respondent]]","[[-1],[1]]",-1
The court directed a verdict for respondent on this count,"[[],[respondent]]","[[],[0]]",0
petitioner failed to prove other instances of whites having been refused service,"[[petitioner],[]]","[[-1],[]]",-1
"Because respondent failed to meet its initial burden as the party moving for summary judgment, petitioner was not required to come forward with suitable opposing affidavits under Fed. Rule Civ. Proc.","[[petitioner],[respondent]]","[[1],[-1]]",1
respondent failed to meet its initial burden as the party moving for summary judgment,"[[],[respondent]]","[[],[-1]]",-1
petitioner was not required to come forward with suitable opposing affidavits under Fed.,"[[petitioner],[]]","[[1],[]]",1
Petitioner will have established a claim under 1983 for violation of her equal protection rights if she proves that she was refused service by respondent because of a state-enforced custom requiring racial segregation in Hattiesburg restaurants.,"[[petitioner,her,she],[respondent]]","[[1,1,1],[-1]]",1
Petitioner will have established a claim under 1983 for violation of her equal protection rights,"[[petitioner,her],[]]","[[1,1],[]]",1
she was refused service by respondent because of a state-enforced custom requiring racial segregation in Hattiesburg restaurants.,"[[she],[respondent]]","[[-1],[0]]",-1
Petitioner would have shown an abridgment of her constitutional right of equal protection if she proved that respondent refused her service because of a state-enforced custom of racial segregation in public restaurants.,"[[petitioner,her_1,her_2,she],[respondent]]","[[1,1,1,1],[-1]]",1
she proved that respondent refused her service because of a state-enforced custom of racial segregation in public restaurants.,"[[she,her],[respondent]]","[[1,1],[-1]]",1
"Petitioner, Sandra Adickes, a white school teacher from New York, brought this suit in the United States District Court for the Southern District of New York against respondent S. H. Kress & Co. (""Kress"") to recover damages under 42 U.S.C. 1983 1 for an alleged violation of her constitutional rights under the Equal Protection Clause of the Fourteenth Amendment.","[[petitioner,her],[respondent]]","[[1,1],[-1]]",1
"The suit arises out of Kress refusal to serve lunch to Miss Adickes at its restaurant facilities in its Hattiesburg, Mississippi, store on August 14, 1964, and Miss Adickes subsequent arrest upon her departure from the store by the Hattiesburg police on a charge of vagrancy.","[[Adickes,her],[Kress]]","[[1,1],[-1]]",1
her departure from the store by the Hattiesburg police on a charge of vagrancy.,"[[her],[]]","[[1],[]]",1
"At the time of both the refusal to serve and the arrest, Miss Adickes was with six young people, all Negroes, who were her students in a Mississippi ""Freedom School"" where she was [398 U.S. 144, 147] teaching that summer. ","[[Adickes,she],[]]","[[1,1],[]]",1
"she was [398 U.S. 144, 147] teaching that summer.","[[she],[]]","[[0],[]]",0
"Unlike Miss Adickes, the students were offered service, and were not arrested.","[[Adickes],[]]","[[0],[]]",1
"Petitioner complaint had two counts, 2 each bottomed on 1983, and each alleging that Kress had deprived her of the right under the Equal Protection Clause of the Fourteenth Amendment not to be discriminated against on the basis of race.","[[petitioner,her],[Kress]]","[[1,1],[-1]]",1
"Petitioner complaint had two counts, 2 each bottomed on 1983, and each alleging","[[petitioner],[]]","[[1],[]]",1
Kress had deprived her of the right under the Equal Protection Clause of the Fourteenth Amendment not to be discriminated against on the basis of race.,"[[her],[Kress]]","[[-1],[1]]",-1
"The first count charged that Miss Adickes had been refused service by Kress because she was a ""Caucasian in the company of Negroes.""","[[Adickes,she],[Kress]]","[[1,1],[-1]]",1
Miss Adickes had been refused service by Kress,"[[Adickes],[Kress]]","[[-1],[0]]",-1
"she was a ""Caucasian in the company of Negroes.""","[[she],[]]","[[0],[]]",0
"Because petitioner was unable to prove at the trial that there were other instances in Hattiesburg of a white person having been refused service while in the company of Negroes, [398 U.S. 144, 148] the District Court directed a verdict in favor of respondent.","[[petitioner],[respondent]]","[[-1],[1]]",-1
petitioner was unable to prove at the trial,"[[petitioner],[]]","[[-1],[]]",-1
"there were other instances in Hattiesburg of a white person having been refused service while in the company of Negroes, [398 U.S. 144, 148] the District Court directed a verdict in favor of respondent.","[[],[respondent]]","[[],[1]]",1
"The second count of her complaint, alleging that both the refusal of service and her subsequent arrest were the product of a conspiracy between Kress and the Hattiesburg police, was dismissed before trial on a motion for summary judgment.","[[her_1,her_2],[Kress,Hattiesburg police]]","[[-1,-1],[1,1]]",-1
both the refusal of service and her subsequent arrest were the product of a conspiracy between Kress and the Hattiesburg police,"[[her],[Kress,Hattiesburg police]]","[[-1],[1,1]]",-1
"The District Court ruled that petitioner had ""failed to allege any facts from which a conspiracy might be inferred.""","[[petitioner],[]]","[[-1],[]]",-1
"petitioner had ""failed to allege any facts ","[[petitioner],[]]","[[-1],[]]",-1
"As explained in Part I, because the respondent failed to show the absence of any disputed material fact, we think the District Court erred in granting summary judgment.","[[],[respondent]]","[[],[-1]]",1
the respondent failed to show the absence of any disputed material fact,"[[],[respondent]]","[[],[-1]]",-1
"With respect to the substantive count, for reasons explained in Part II, we think petitioner will have made out a claim under 1983 for violation of her equal protection rights if she proves that she was refused service by Kress because of a state-enforced custom requiring racial segregation in Hattiesburg restaurants.","[[petitioner,her,she_1,she_2],[Kress]]","[[1,1,1,1],[-1]]",1
petitioner will have made out a claim under 1983 for violation of her equal protection rights if she proves that she was refused service by Kress because of a state-enforced custom requiring racial segregation in Hattiesburg restaurants.,"[[petitioner,her,she_1,she_2],[Kress]]","[[1,1,1,1],[-1]]",1
she proves that she was refused service by Kress because of a state-enforced custom requiring racial segregation in Hattiesburg restaurants.,"[[she_1,she_2],[Kress]]","[[1,1],[-1]]",1
"Briefly stated, the conspiracy count of petitioner complaint made the following allegations: While serving as a volunteer teacher at a ""Freedom School"" for Negro children in Hattiesburg, Mississippi, petitioner went with six of her students to the Hattiesburg Public Library at about noon on August 14, 1964.","[[petitioner,her],[]]","[[0,0],[]]",0
"Briefly stated, the conspiracy count of petitioner complaint made the following allegations:","[[petitioner],[]]","[[0],[]]",0
"Because they did not leave, the librarian called the Hattiesburg chief of police who told petitioner and her students that the library was closed, and ordered them to leave.","[[petitioner,her],[]]","[[0,0],[]]",0
the librarian called the Hattiesburg chief of police who told petitioner and her students,"[[petitioner,her],[]]","[[0,0],[]]",0
"From the library, petitioner and the students proceeded to respondent store where they wished to eat lunch.","[[petitioner],[respondent]]","[[0],[0]]",0
"According to the complaint, after the group sat down to eat, a policeman came into the store ""and observed [Miss Adickes] in the company of the Negro students.""","[[Adickes],[]]","[[0],[]]",0
"A waitress then came to the booth where petitioner was sitting, took the orders of the Negro students, but refused to serve petitioner because she was a white person ""in the company of Negroes.""","[[petitioner,she],[]]","[[1,1],[]]",-1
petitioner was sitting,"[[petitioner],[]]","[[0],[]]",0
"she was a white person ""in the company of Negroes.""","[[she],[]]","[[0],[]]",0
"The complaint goes on to allege that after this refusal of service, petitioner and her students left the Kress store.","[[petitioner,her],[Kress]]","[[1,1],[-1]]",-1
"On the basis of these underlying facts petitioner alleged that Kress and the Hattiesburg police had conspired (1) ""to deprive [her] of her right to enjoy equal treatment and service in a place of public accommodation""; [398 U.S. 144, 150] and (2) to cause her arrest ""on the false charge of vagrancy.""","[[petitioner,her_1,her_2],[Kress,Hattiesburg police]]","[[1,1,1],[-1,-1]]",-1
On the basis of these underlying facts petitioner alleged,"[[petitioner],[]]","[[1],[]]",1
"Kress and the Hattiesburg police had conspired (1) ""to deprive [her] of her right to enjoy equal treatment and service in a place of public accommodation""; [398 U.S. 144, 150] and (2) to cause her arrest ""on the false charge of vagrancy.""","[[her_1,her_2],[Kress,Hattiesburg police]]","[[1,1],[-1,-1]]",-1
" First, the plaintiff must prove that the defendant has deprived him of a right secured by the ""Constitution and laws"" of the United States.","[[plaintiff,him],[defendant]]","[[1,1],[-1]]",1
"First, the plaintiff must prove ","[[plaintiff],[]]","[[0],[]]",0
"the defendant has deprived him of a right secured by the ""Constitution and laws"" of the United States.","[[him],[defendant]]","[[1],[-1]]",-1
"In moving for summary judgment, Kress argued that ""uncontested facts"" established that no conspiracy existed between any Kress employer and the police.","[[],[Kress,police]]","[[],[1,1]]",-1
"Finally, Kress pointed to the statements in petitioner own deposition that she had no knowledge of any communication between any Kress employer and any member of the Hattiesburg police, and was relying on circumstantial evidence to support her [398 U.S. 144, 156] contention that there was an arrangement between Kress and the police.","[[petitioner,she,her],[Kress,police]]","[[-1,-1,-1],[1,1]]",-1
she had no knowledge of any communication between any Kress employer and any member of the Hattiesburg police,"[[she],[Kress,police]]","[[-1],[1,1]]",-1
